item_id,item_name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
130,Half-Life: Blue Shift
300,Day of Defeat: Source
240,Counter-Strike: Source
3830,Psychonauts
2630,Call of Duty 2
3900,Sid Meier's Civilization IV
34440,Sid Meier's Civilization IV
3920,Sid Meier's Pirates!
6400,Joint Task Force
6910,Deus Ex: Game of the Year Edition
7670,BioShock
409710,BioShock Remastered
220,Half-Life 2
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
9340,Company of Heroes: Opposing Fronts
228200,Company of Heroes (New Steam Version)
11450,Overlord
7940,Call of Duty 4: Modern Warfare
4700,Medieval II: Total War
12900,Audiosurf
13250,Unreal Gold
16100,Virtual Villagers: A New Home
15700,Oddworld: Abe's Oddysee
15710,Oddworld: Abe's Exoddus
17330,Crysis Warhead
17340,Crysis Wars
22000,World of Goo
500,Left 4 Dead
4560,Company of Heroes
17460,Mass Effect
10500,Empire: Total War
24740,Burnout Paradise: The Ultimate Box
22200,Zeno Clash
26800,Braid
1250,Killing Floor
35420,Killing Floor Mod: Defence Alliance 2
3590,Plants vs. Zombies: Game of the Year
8880,Freedom Force
8890,Freedom Force vs. the 3rd Reich
23120,Droplitz
35700,Trine
10140,3D Ultra Minigolf Adventures Deluxe
35010,Batman: Arkham Asylum
35140,Batman: Arkham Asylum GOTY Edition
29180,Osmos
15520,AaAaAA!!! - A Reckless Disregard for Gravity
32370,STAR WARS™: Knights of the Old Republic™
37700,Darkest of Days
6020,STAR WARS™ Jedi Knight: Jedi Academy™
24860,Battlefield 2
39530,Painkiller: Black Edition
550,Left 4 Dead 2
223530,Left 4 Dead 2 Beta
8980,Borderlands
41500,Torchlight
20900,The Witcher: Enhanced Edition
10180,Call of Duty: Modern Warfare 2
10190,Call of Duty: Modern Warfare 2 - Multiplayer
17450,Dragon Age: Origins
3170,King's Bounty: Armored Princess
25900,King's Bounty: The Legend
31410,Zombie Driver
24980,Mass Effect 2
8850,BioShock 2
409720,BioShock 2 Remastered
46000,Bob Came in Pieces
33230,Assassin's Creed II
20820,Shatter
47700,Command and Conquer 4: Tiberian Twilight
24960,Battlefield: Bad Company 2
43110,Metro 2033
8190,Just Cause 2
49600,Beat Hazard
31220,Sam & Max 301: The Penal Zone
31230,Sam & Max 302: The Tomb of Sammun-Mak
31240,Sam & Max 303: They Stole Max's Brain!
31250,Sam & Max 304: Beyond the Alley of the Dolls
31260,Sam & Max 305: The City that Dares not Sleep
21090,F.E.A.R.
21110,F.E.A.R.: Extraction Point
21120,F.E.A.R.: Perseus Mandate
49400,Magic: The Gathering - Duels of the Planeswalkers
33910,Arma 2
33930,Arma 2: Operation Arrowhead
219540,Arma 2: Operation Arrowhead Beta (Obsolete)
17410,Mirror's Edge
205790,Dota 2 Test
50130,Mafia II
62100,Chime
31280,Poker Night at the Inventory
57300,Amnesia: The Dark Descent
21970,R.U.S.E
8930,Sid Meier's Civilization V
41000,Serious Sam HD: The First Encounter
41050,Serious Sam Classic: The First Encounter
41060,Serious Sam Classic: The Second Encounter
227780,Serious Sam Classics: Revolution
18040,DeathSpank
22380,Fallout: New Vegas
42700,Call of Duty: Black Ops
42710,Call of Duty: Black Ops - Multiplayer
62000,Flight Control HD
40800,Super Meat Boy
9500,Gish
18700,And Yet It Moves
31270,Puzzle Agent
58200,Jolly Rover
70400,Recettear: An Item Shop's Tale
41300,Altitude
41800,Gratuitous Space Battles
42500,DogFighter
49900,Plain Sight
55000,Flotilla
34330,Total War: SHOGUN 2
63200,Monday Night Combat
99810,Bulletstorm
620,Portal 2
42910,Magicka
15500,The Wonderful End of the World
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
18500,Defense Grid: The Awakening
26500,Cogs
35460,The Ball
38700,Toki Tori
38720,RUSH
63700,BIT.TRIP BEAT
280,Half-Life: Source
20920,The Witcher 2: Assassins of Kings Enhanced Edition
105600,Terraria
98200,Frozen Synapse
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4540,Titan Quest
4550,Titan Quest: Immortal Throne
9480,Saints Row 2
15620,"Warhammer® 40,000™: Dawn of War® II"
20500,Red Faction: Guerrilla Steam Edition
20570,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
50620,Darksiders
55100,Homefront
55140,MX vs. ATV Reflex
56400,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
475150,Titan Quest Anniversary Edition
96100,Defy Gravity
35450,Rising Storm/Red Orchestra 2 Multiplayer
236830,Red Orchestra 2: Heroes of Stalingrad - Single Player
72850,The Elder Scrolls V: Skyrim
107100,Bastion
57690,Tropico 4
91310,Dead Island
113200,The Binding of Isaac
65800,Dungeon Defenders
9200,RAGE
41070,Serious Sam 3: BFE
48950,Greed Corp
92800,SpaceChem
104700,Super Monday Night Combat
203770,Crusader Kings II
203810,Dear Esther
110800,L.A. Noire
207610,The Walking Dead
98300,Toy Soldiers
50300,Spec Ops: The Line
204300,Awesomenauts
1700,Arx Fatalis
205100,Dishonored
211120,The Political Machine
730,Counter-Strike: Global Offensive
49520,Borderlands 2
200260,Batman: Arkham City GOTY
212680,FTL: Faster Than Light
200710,Torchlight II
219150,Hotline Miami
215510,Rocketbirds: Hardboiled Chicken
8870,BioShock Infinite
200510,XCOM: Enemy Unknown
220240,Far Cry® 3
218680,Scribblenauts Unlimited
228280,Baldur's Gate: Enhanced Edition
212070,Star Conflict
218230,PlanetSide 2
236390,War Thunder
3483,Peggle Extreme
203160,Tomb Raider
227080,Papo & Yo
233450,Prison Architect
43160,Metro: Last Light
219740,Don't Starve
322330,Don't Starve Together
222730,Reus
241600,Rogue Legacy
238930,"7 Grand Steps, Step 1: What Ancients Begat"
217140,Rise of the Triad
39140,FINAL FANTASY VII
225080,Brothers - A Tale of Two Sons
239030,"Papers, Please"
248820,Risk of Rain
239350,Spelunky
218620,PAYDAY 2
206420,Saints Row IV
236850,Europa Universalis IV
47790,Medal of Honor(TM) Single Player
47830,Medal of Honor(TM) Multiplayer
250320,The Wolf Among Us
250900,The Binding of Isaac: Rebirth
204450,Call of Juarez Gunslinger
233270,Far Cry® 3 Blood Dragon
251990,Long Live The Queen
253980,Enclave
236450,PAC-MAN Championship Edition DX+
242050,Assassin's Creed IV Black Flag
257350,Baldur's Gate II: Enhanced Edition
213670,South Park™: The Stick of Truth™
238010,Deus Ex: Human Revolution - Director's Cut
245470,Democracy 3
221910,The Stanley Parable
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™
238430,Contagion
261030,The Walking Dead: Season Two
261570,Ori and the Blind Forest
263980,Out There Somewhere
39150,FINAL FANTASY VIII
230230,Divinity: Original Sin (Classic)
373420,Divinity: Original Sin Enhanced Edition
232790,Broken Age
237990,The Banner Saga
273620,Freespace 2
222880,Insurgency
225840,Sven Co-op
222900,Dead Island: Epidemic
280220,Creeper World 3: Arc Eternal
236430,DARK SOULS™ II
201810,Wolfenstein: The New Order
294860,Valkyria Chronicles™
295690,PARTICLE MACE
238460,BattleBlock Theater
237930,Transistor
301480,GEARCRACK Arena
303390,Dead Bits
306660,Ultimate General: Gettysburg
316790,Grim Fandango Remastered
318430,Squishy the Suicidal Pig
241930,Middle-earth: Shadow of Mordor
328080,Retro-Pixel Castles
282070,This War of Mine
333930,Dirty Bomb
334120,Armikrog
257510,The Talos Principle
319630,Life Is Strange™
346010,Besiege
255710,Cities: Skylines
232090,Killing Floor 2
232150,Killing Floor 2 - SDK
377160,Fallout 4
340170,FINAL FANTASY TYPE-0 HD
391540,Undertale
396660,Tahira: Echoes of the Astral Empire
337000,Deus Ex: Mankind Divided™
368230,Kingdom: Classic
496300,Kingdom: New Lands
231430,Company of Heroes 2
289130,Endless Legend
268500,XCOM 2
461640,Sins Of The Demon RPG
379720,DOOM
273350,Evolve Stage 2
80,Counter-Strike: Condition Zero
100,Counter-Strike: Condition Zero Deleted Scenes
3910,Sid Meier's Civilization III: Complete
4000,Garry's Mod
6880,Just Cause
2200,Quake III Arena
2270,Wolfenstein 3D
2280,The Ultimate DOOM
2290,Final DOOM
2300,DOOM II: Hell on Earth
2310,Quake
2320,Quake II
2330,Quake II: The Reckoning
2340,Quake II: Ground Zero
2350,Quake III: Team Arena
2360,HeXen: Beyond Heretic
2370,HeXen: Deathkings of the Dark Citadel
2390,Heretic: Shadow of the Serpent Riders
9000,Wolfenstein 3D: Spear of Destiny
9010,Return to Castle Wolfenstein
9030,Quake Mission Pack 2: Dissolution of Eternity
9040,Quake Mission Pack 1: Scourge of Armagon
9050,DOOM 3
9060,HeXen II
9070,DOOM 3: Resurrection of Evil
9160,Master Levels for DOOM II
9180,Commander Keen Complete Pack
4760,Rome: Total War
2590,Alpha Prime
4230,Race: The WTCC Game
4290,RACE: Caterham Expansion
8600,RACE 07
8660,GTR Evolution
44630,RACE 07 - Formula RaceRoom Add-On
15310,The Settlers: Heritage of Kings
17100,Children of the Nile
17120,Children of the Nile: Alexandria
21000,LEGO Batman: The Videogame
17470,Dead Space
27000,The Path
23700,Puzzle Kingdoms
22330,The Elder Scrolls IV: Oblivion 
9870,Ghostbusters: The Video Game
12830,Operation Flashpoint: Dragon Rising
24800,Command and Conquer: Red Alert 3 - Uprising
40200,ItzaBitza
40210,ItzaZoo
39900,Coniclysm
46410,Avencast
33220,Tom Clancy's Splinter Cell: Conviction
48800,Ship Simulator Extremes
70100,Hacker Evolution
70110,Hacker Evolution - Untold
70120,Hacker Evolution Duality
9940,Blade Kitten
23490,Tropico 3 - Steam Special Edition
57600,Tropico 3: Absolute Power
60600,ProtoGalaxy
33950,The Fish Fillets 2
12210,Grand Theft Auto IV
12220,Grand Theft Auto: Episodes from Liberty City
47810,Dragon Age: Origins - Ultimate Edition
39670,Chaser
